"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"27/02/2020","579,72","593,59","595,59","576,79","771,21M","-2,34%"
"26/02/2020","593,60","603,00","604,32","593,09","722,86M","-2,62%"
"25/02/2020","609,58","608,33","616,19","603,74","600,78M","-0,84%"
"24/02/2020","614,72","616,89","622,95","608,47","576,61M","-1,51%"
"21/02/2020","624,17","633,84","635,01","621,97","609,20M","-1,51%"
"20/02/2020","633,77","630,93","635,36","630,36","527,97M","0,69%"
"19/02/2020","629,41","626,38","629,41","625,78","579,07M","0,87%"
"18/02/2020","623,97","617,12","628,38","617,12","586,89M","0,83%"
"17/02/2020","618,81","620,29","622,36","616,83","405,96M","-0,17%"
"14/02/2020","619,84","615,65","623,29","612,21","512,50M","0,39%"
"13/02/2020","617,42","627,80","628,63","616,06","573,21M","-1,65%"
"12/02/2020","627,79","635,79","636,36","625,92","589,68M","-1,50%"
"11/02/2020","637,36","639,72","641,23","635,85","438,61M","-0,05%"
"10/02/2020","637,69","645,02","645,37","635,65","503,19M","-1,06%"
"07/02/2020","644,54","645,11","646,93","643,05","511,69M","0,04%"
"06/02/2020","644,28","650,82","651,18","642,59","579,02M","-0,50%"
"05/02/2020","647,51","642,36","647,51","637,31","701,45M","1,23%"
"04/02/2020","639,64","641,70","643,65","637,18","691,44M","0,55%"
"03/02/2020","636,11","639,54","643,38","634,36","599,51M","-1,04%"
"31/01/2020","642,80","660,61","660,95","642,27","824,03M","-2,28%"
"30/01/2020","657,83","667,33","668,47","656,76","503,97M","-1,37%"
"29/01/2020","666,94","667,34","671,26","665,27","440,92M","0,18%"
"28/01/2020","665,72","665,67","666,12","656,42","613,67M","-0,42%"
"27/01/2020","668,50","685,30","685,46","666,29","505,55M","-2,60%"
"24/01/2020","686,31","686,00","688,21","685,05","383,75M","-0,08%"
"23/01/2020","686,86","684,22","687,55","682,52","434,65M","0,55%"
"22/01/2020","683,11","686,77","689,12","682,29","608,11M","-0,68%"
"21/01/2020","687,82","686,45","690,02","683,74","503,27M","-0,01%"
"20/01/2020","687,90","693,12","694,18","686,99","685,59M","-0,66%"
"17/01/2020","692,50","694,01","695,89","689,29","530,02M","-0,28%"
"16/01/2020","694,47","692,98","694,47","688,42","704,81M","0,20%"
"15/01/2020","693,08","696,58","698,08","687,47","892,38M","-0,49%"
"14/01/2020","696,51","694,71","696,51","692,05","735,41M","0,36%"
"13/01/2020","694,02","693,22","695,38","690,34","614,37M","0,47%"
"10/01/2020","690,74","693,51","694,32","689,98","550,80M","-0,09%"
"09/01/2020","691,38","687,78","691,38","686,54","605,09M","0,93%"
"08/01/2020","685,01","688,33","688,95","683,72","755,34M","-1,09%"
"07/01/2020","692,54","691,17","693,78","686,57","734,80M","0,36%"
"06/01/2020","690,06","695,98","696,95","689,07","701,95M","-1,34%"
"03/01/2020","699,45","698,32","699,45","692,13","635,49M","0,73%"
"02/01/2020","694,39","701,38","702,94","691,63","411,99M","-0,53%"
"30/12/2019","698,09","704,36","705,78","698,09","490,75M","-0,94%"
"27/12/2019","704,70","704,77","706,23","702,55","472,54M","0,13%"
"26/12/2019","703,78","700,94","705,36","700,80","421,90M","0,19%"
"23/12/2019","702,46","705,00","705,49","696,35","504,77M","-0,10%"
"20/12/2019","703,15","692,77","703,15","689,12","799,36M","1,53%"
"19/12/2019","692,55","696,96","697,66","690,70","650,76M","-0,72%"
"18/12/2019","697,56","696,43","697,56","692,06","746,52M","-0,06%"
"17/12/2019","697,97","694,37","697,97","691,37","763,43M","0,65%"
"16/12/2019","693,46","692,50","698,08","692,30","884,22M","0,12%"
"13/12/2019","692,60","686,68","692,60","685,94","819,46M","1,94%"
"12/12/2019","679,45","689,75","690,77","679,45","720,71M","-1,37%"
"11/12/2019","688,89","692,66","694,20","687,86","594,25M","-0,25%"
"10/12/2019","690,62","689,88","694,02","689,69","656,22M","-0,16%"
"09/12/2019","691,73","693,87","694,82","689,46","821,53M","-0,17%"
"06/12/2019","692,89","686,91","692,89","683,61","639,52M","0,91%"
"05/12/2019","686,61","680,79","686,94","680,55","841,83M","1,26%"
"04/12/2019","678,07","677,99","680,41","675,30","648,07M","-0,27%"
"03/12/2019","679,90","679,07","682,83","675,70","590,31M","-0,09%"
"02/12/2019","680,53","669,70","680,53","669,48","609,55M","1,96%"
"29/11/2019","667,44","660,07","671,25","657,22","542,07M","1,12%"
"28/11/2019","660,08","666,46","673,55","657,71","641,55M","-1,11%"
"27/11/2019","667,47","667,78","673,64","664,44","618,98M","0,20%"
"26/11/2019","666,16","679,77","679,94","666,16","1,79B","-1,45%"
"25/11/2019","675,98","680,73","681,68","672,80","548,37M","-0,55%"
"22/11/2019","679,69","680,15","683,17","677,62","541,78M","0,00%"
"21/11/2019","679,69","683,51","684,38","679,01","505,67M","-1,08%"
"20/11/2019","687,12","684,52","687,12","682,01","580,27M","0,01%"
"19/11/2019","687,05","678,87","687,05","678,11","509,25M","1,33%"
"18/11/2019","678,04","679,28","682,04","675,53","520,13M","-0,34%"
"15/11/2019","680,32","679,03","681,64","674,34","507,27M","0,51%"
"14/11/2019","676,84","683,09","684,52","672,38","638,78M","-1,22%"
"13/11/2019","685,22","691,50","692,42","683,54","585,95M","-1,02%"
"12/11/2019","692,28","684,66","692,28","683,41","590,18M","0,81%"
"11/11/2019","686,75","687,44","690,28","684,25","492,98M","-0,43%"
"08/11/2019","689,72","684,28","690,40","681,13","729,02M","0,50%"
"07/11/2019","686,31","696,20","696,25","679,37","649,56M","-0,94%"
"06/11/2019","692,81","697,01","697,11","690,03","764,19M","-0,55%"
"05/11/2019","696,65","684,07","696,65","683,59","755,40M","2,27%"
"04/11/2019","681,19","687,07","690,59","681,19","626,32M","-0,59%"
"01/11/2019","685,25","685,60","689,16","682,80","710,26M","-0,24%"
"31/10/2019","686,92","699,09","700,26","684,38","794,27M","-1,78%"
"30/10/2019","699,35","703,46","703,70","694,98","589,36M","-0,01%"
"29/10/2019","699,45","695,46","699,45","694,20","817,73M","0,37%"
"28/10/2019","696,86","693,71","697,13","691,54","579,10M","0,56%"
"25/10/2019","692,98","708,50","709,00","691,25","636,78M","-2,28%"
"24/10/2019","709,17","699,71","709,17","697,60","881,95M","1,73%"
"23/10/2019","697,13","690,65","697,13","687,92","747,75M","0,85%"
"22/10/2019","691,27","684,53","691,27","682,22","582,69M","1,10%"
"21/10/2019","683,73","683,99","687,51","680,36","639,70M","0,30%"
"18/10/2019","681,66","683,74","685,00","679,42","1,18B","-0,23%"
"17/10/2019","683,25","679,22","683,25","678,55","556,26M","0,55%"
"16/10/2019","679,50","680,03","683,38","675,42","665,54M","0,01%"
"15/10/2019","679,44","676,72","680,14","675,69","513,30M","0,38%"
"14/10/2019","676,88","676,59","679,91","672,87","504,90M","0,62%"
"11/10/2019","672,71","662,40","672,85","662,40","510,82M","1,83%"
"10/10/2019","660,64","662,69","665,93","659,84","673,15M","-0,53%"
"09/10/2019","664,13","666,60","669,29","664,07","594,41M","-0,79%"
"08/10/2019","669,42","670,12","674,13","665,58","608,98M","0,58%"
"07/10/2019","665,59","678,67","679,05","664,65","447,85M","-1,63%"
"04/10/2019","676,64","677,46","678,42","674,26","406,84M","0,72%"
"03/10/2019","671,82","669,25","673,81","665,82","493,03M","-0,09%"
"02/10/2019","672,44","678,26","682,62","672,44","502,76M","-1,09%"
"01/10/2019","679,85","687,24","687,50","679,34","480,18M","-0,88%"
"30/09/2019","685,92","686,39","687,76","681,72","599,98M","-0,33%"
"27/09/2019","688,17","689,25","690,88","686,42","477,38M","-0,48%"
"26/09/2019","691,46","684,49","692,09","683,84","613,24M","1,32%"
"25/09/2019","682,45","678,63","682,45","673,32","588,06M","0,19%"
"24/09/2019","681,17","689,12","690,28","678,19","747,70M","-1,53%"
"23/09/2019","691,75","696,91","697,53","690,04","592,32M","-0,47%"
"20/09/2019","695,03","695,00","695,93","691,76","983,00M","0,20%"
"19/09/2019","693,63","700,65","701,41","692,78","589,25M","-0,94%"
"18/09/2019","700,18","696,96","700,26","694,77","658,81M","0,32%"
"17/09/2019","697,92","701,38","701,82","696,70","578,97M","-0,33%"
"16/09/2019","700,23","693,62","700,23","687,54","720,26M","0,94%"
"13/09/2019","693,68","699,03","699,62","691,96","634,09M","-0,30%"
"12/09/2019","695,76","706,99","707,96","695,56","770,21M","-1,48%"
"11/09/2019","706,23","704,90","706,23","699,72","1,04B","0,30%"
"10/09/2019","704,10","706,06","706,92","701,05","989,58M","0,07%"
"09/09/2019","703,61","701,63","705,47","699,03","941,73M","0,92%"
"06/09/2019","697,23","702,15","702,64","694,18","780,14M","-0,29%"
"05/09/2019","699,28","694,37","699,28","692,02","741,51M","0,93%"
"04/09/2019","692,87","692,49","694,82","689,40","785,92M","0,02%"
"03/09/2019","692,70","700,81","701,01","692,17","914,34M","-0,86%"
"02/09/2019","698,74","704,21","705,02","697,41","1,18B","-0,55%"
"30/08/2019","702,59","696,35","703,14","693,25","806,30M","1,61%"
"29/08/2019","691,43","689,73","692,89","689,40","689,84M","0,35%"
"28/08/2019","689,02","689,14","692,18","686,77","854,88M","0,37%"
"27/08/2019","686,50","679,81","688,21","675,07","1,34B","1,72%"
"26/08/2019","674,87","667,62","676,16","661,71","857,96M","-0,64%"
"23/08/2019","679,25","675,18","680,22","669,83","829,91M","0,63%"
"22/08/2019","675,01","674,90","676,15","669,54","767,39M","0,19%"
"21/08/2019","673,75","679,78","681,78","673,67","677,74M","-1,02%"
"20/08/2019","680,66","679,73","680,66","676,49","795,49M","0,75%"
"19/08/2019","675,59","678,68","680,05","673,62","687,34M","0,44%"
"16/08/2019","672,65","671,19","675,23","668,42","920,16M","0,06%"
"15/08/2019","672,23","662,93","672,23","660,10","843,92M","-0,46%"
"14/08/2019","675,35","674,90","676,02","669,94","901,94M","1,18%"
"13/08/2019","667,47","676,25","676,26","663,95","850,32M","-1,21%"
"12/08/2019","675,63","682,86","683,74","673,53","700,07M","-0,54%"
"09/08/2019","679,28","682,53","684,66","679,28","823,31M","0,10%"
"08/08/2019","678,60","673,26","679,48","672,40","927,54M","1,40%"
"07/08/2019","669,24","667,14","674,13","665,64","1,17B","1,16%"
"06/08/2019","661,59","657,11","666,41","648,79","1,07B","-0,50%"
"05/08/2019","664,92","677,96","680,79","664,50","746,15M","-3,00%"
"02/08/2019","685,48","683,11","687,03","680,17","715,38M","-0,73%"
"01/08/2019","690,49","687,44","691,96","685,02","742,08M","0,39%"
"31/07/2019","687,80","683,87","688,83","679,03","1,13B","0,16%"
"30/07/2019","686,69","683,88","686,69","681,76","650,97M","1,11%"
"29/07/2019","679,17","681,90","683,34","676,12","485,52M","-0,31%"
"26/07/2019","681,26","691,09","691,71","676,29","643,89M","-1,84%"
"25/07/2019","694,03","690,74","695,87","690,18","738,31M","0,48%"
"24/07/2019","690,72","696,17","696,69","690,72","516,15M","-0,64%"
"23/07/2019","695,15","695,56","696,21","692,46","550,21M","0,27%"
"22/07/2019","693,27","699,53","700,43","691,34","522,35M","-0,94%"
"19/07/2019","699,86","699,18","700,51","696,62","591,88M","0,55%"
"18/07/2019","696,00","690,71","696,82","689,27","825,90M","0,83%"
"17/07/2019","690,26","693,25","693,44","688,87","724,83M","-0,37%"
"16/07/2019","692,84","695,26","696,09","691,59","545,60M","-0,26%"
"15/07/2019","694,64","693,92","697,75","692,40","834,00M","1,08%"
"12/07/2019","687,24","694,95","695,29","686,75","638,54M","-1,19%"
"11/07/2019","695,55","696,44","697,78","691,04","633,36M","-0,07%"
"10/07/2019","696,04","693,18","696,04","690,39","684,84M","0,51%"
"09/07/2019","692,52","689,73","694,19","689,06","741,12M","0,53%"
"08/07/2019","688,84","689,97","690,14","683,75","568,45M","-0,27%"
"05/07/2019","690,72","688,74","692,20","688,57","624,95M","0,27%"
"04/07/2019","688,84","689,22","689,98","687,45","623,58M","-0,04%"
"03/07/2019","689,14","688,95","691,90","685,00","658,11M","-0,50%"
"02/07/2019","692,58","691,81","692,58","687,69","680,85M","0,38%"
"01/07/2019","689,96","686,74","690,98","683,25","859,81M","1,07%"
"28/06/2019","682,65","682,00","684,78","678,63","764,13M","0,41%"
"27/06/2019","679,88","672,41","681,60","671,97","825,50M","1,49%"
"26/06/2019","669,89","673,52","675,25","669,12","936,31M","-0,49%"
"25/06/2019","673,16","669,85","673,16","668,84","1,16B","0,99%"
"24/06/2019","666,55","670,56","671,04","665,35","599,36M","-0,76%"
"21/06/2019","671,64","679,65","680,13","663,54","842,77M","-0,95%"
"20/06/2019","678,08","682,72","683,73","675,68","815,76M","-0,56%"
"19/06/2019","681,92","675,65","681,92","675,19","717,23M","1,79%"
"18/06/2019","669,96","662,34","669,96","661,60","589,88M","1,38%"
"17/06/2019","660,84","669,36","669,84","660,84","513,50M","-1,38%"
"14/06/2019","670,11","673,57","675,51","666,94","536,38M","-0,30%"
"13/06/2019","672,15","671,24","673,46","666,45","699,66M","-0,03%"
"12/06/2019","672,35","667,03","672,35","665,51","783,16M","-0,33%"
"11/06/2019","674,60","674,15","678,18","669,22","672,20M","-0,30%"
"10/06/2019","676,66","668,51","676,93","667,74","1,15B","2,36%"
"31/05/2019","661,04","645,44","661,04","645,26","902,69M","2,27%"
"29/05/2019","646,39","640,04","651,26","639,72","639,35M","1,20%"
"28/05/2019","638,72","649,18","650,69","638,72","1,55B","-1,28%"
"27/05/2019","647,00","644,13","648,61","643,70","583,00M","0,79%"
"24/05/2019","641,95","640,77","644,36","638,21","522,50M","0,84%"
"23/05/2019","636,62","622,39","637,44","622,22","665,72M","2,41%"
"22/05/2019","621,64","624,56","626,61","618,77","352,41M","-0,56%"
"21/05/2019","625,17","621,18","631,40","621,18","642,58M","0,69%"
"20/05/2019","620,89","608,77","623,55","601,94","556,34M","2,22%"
"17/05/2019","607,43","620,21","621,43","607,43","624,22M","-1,35%"
"16/05/2019","615,74","624,67","631,52","615,15","639,82M","-1,86%"
"15/05/2019","627,43","642,77","645,43","627,43","701,63M","-2,10%"
"14/05/2019","640,88","637,71","644,52","632,22","783,79M","-0,85%"
"13/05/2019","646,38","660,25","661,85","646,38","542,94M","-2,07%"
"10/05/2019","660,07","657,84","662,29","650,80","685,01M","0,59%"
"09/05/2019","656,23","667,75","669,76","655,63","746,97M","-2,66%"
"08/05/2019","674,19","670,96","674,19","667,46","626,96M","-0,44%"
"07/05/2019","677,15","672,52","678,58","671,89","669,93M","0,90%"
"06/05/2019","671,14","663,89","671,14","658,30","689,93M","-0,59%"
"03/05/2019","675,09","683,73","684,19","667,14","832,11M","-1,40%"
"02/05/2019","684,67","689,74","692,86","681,50","880,19M","-1,05%"
"30/04/2019","691,91","690,41","693,35","687,15","776,12M","0,57%"
"29/04/2019","687,96","688,03","689,90","682,32","529,64M","-0,62%"
"26/04/2019","692,27","685,20","692,27","681,20","486,72M","0,72%"
"25/04/2019","687,33","696,80","698,08","683,97","640,64M","-1,86%"
"24/04/2019","700,34","703,08","705,23","697,68","648,71M","-0,49%"
"23/04/2019","703,77","693,99","704,92","693,31","696,96M","1,70%"
"22/04/2019","692,03","706,69","707,17","691,17","584,43M","-2,01%"
"18/04/2019","706,25","717,98","720,42","702,92","1,32B","0,24%"
"16/04/2019","704,57","697,13","705,59","696,92","883,41M","1,26%"
"15/04/2019","695,81","697,42","698,84","693,07","690,65M","0,12%"
"12/04/2019","694,96","693,49","699,41","693,20","668,32M","-0,30%"
"11/04/2019","697,02","706,22","706,80","697,02","487,49M","-1,79%"
"10/04/2019","709,73","706,87","709,73","703,95","676,08M","0,11%"
"09/04/2019","708,93","701,08","709,73","699,45","753,88M","1,33%"
"08/04/2019","699,60","706,40","707,13","694,00","751,71M","-0,96%"
"05/04/2019","706,40","708,34","708,94","704,83","685,11M","-0,31%"
"04/04/2019","708,61","706,45","708,91","704,16","872,47M","0,47%"
"02/04/2019","705,27","706,36","707,30","702,04","669,46M","0,17%"
"01/04/2019","704,04","707,32","708,58","703,50","836,21M","-0,09%"
"29/03/2019","704,69","705,14","706,57","698,89","836,42M","0,02%"
"28/03/2019","704,55","702,48","705,02","699,15","734,71M","0,43%"
"27/03/2019","701,50","707,60","708,51","701,50","600,47M","-0,62%"
"26/03/2019","705,91","700,25","705,93","699,99","552,96M","1,43%"
"25/03/2019","695,95","705,11","705,11","693,33","758,14M","-2,24%"
"22/03/2019","711,93","713,35","713,87","709,42","629,36M","0,00%"
"21/03/2019","711,90","709,30","711,90","706,53","851,11M","0,80%"
"20/03/2019","706,24","706,97","707,51","703,08","656,55M","0,00%"
"19/03/2019","706,22","712,06","713,74","705,67","549,51M","-0,81%"
"18/03/2019","712,02","706,55","712,02","705,54","619,03M","1,08%"
"15/03/2019","704,42","698,22","708,10","698,22","1,02B","0,63%"
"14/03/2019","700,04","694,54","700,31","693,41","660,49M","0,81%"
"13/03/2019","694,43","688,37","695,01","687,77","698,52M","0,57%"
"12/03/2019","690,47","694,22","696,22","687,23","654,06M","0,06%"
"11/03/2019","690,09","694,35","696,25","688,28","704,67M","0,04%"
"08/03/2019","689,80","697,13","697,92","689,80","716,91M","-1,55%"
"06/03/2019","700,67","703,63","705,84","699,21","644,82M","-0,03%"
"05/03/2019","700,88","705,69","705,72","695,74","737,06M","-0,54%"
"04/03/2019","704,67","706,66","707,88","704,55","626,63M","0,03%"
"01/03/2019","704,48","702,85","708,01","701,83","626,98M","0,88%"
"28/02/2019","698,32","713,28","713,28","697,47","1,05B","-2,09%"
"27/02/2019","713,24","715,35","716,54","709,24","855,78M","-0,39%"
"26/02/2019","716,03","713,12","716,03","708,30","644,78M","0,44%"
"25/02/2019","712,90","715,69","716,90","711,88","687,34M","0,13%"
"22/02/2019","712,01","714,91","716,28","709,09","839,42M","-0,62%"
"21/02/2019","716,45","713,02","717,14","710,21","1,05B","0,40%"
"20/02/2019","713,63","713,92","715,71","709,07","1,00B","0,78%"
"19/02/2019","708,12","711,05","712,50","708,12","808,64M","-0,31%"
"18/02/2019","710,32","700,25","711,86","700,03","857,99M","2,44%"
"15/02/2019","693,43","697,38","697,88","687,99","943,57M","-0,46%"
"14/02/2019","696,62","701,99","702,96","695,27","726,17M","-0,47%"
"13/02/2019","699,92","702,18","704,48","694,41","970,34M","0,19%"
"12/02/2019","698,58","709,96","711,59","695,24","1,02B","-1,66%"
"11/02/2019","710,37","717,77","718,39","710,37","778,08M","-1,00%"
"08/02/2019","717,51","718,94","719,29","713,77","735,39M","-0,63%"
"07/02/2019","722,05","727,63","727,93","720,18","1,06B","-0,57%"
"06/02/2019","726,18","720,56","728,01","720,53","1,17B","1,41%"
"04/02/2019","716,08","727,47","729,00","713,91","849,30M","-1,48%"
"01/02/2019","726,81","728,85","730,93","722,33","660,90M","-0,03%"
"31/01/2019","727,01","724,05","728,77","722,26","1,33B","1,15%"
"30/01/2019","718,75","716,69","720,06","714,55","895,94M","0,37%"
"29/01/2019","716,12","718,62","720,60","715,12","742,18M","-0,39%"
"28/01/2019","718,89","727,57","728,53","714,47","994,34M","-0,95%"
"25/01/2019","725,82","727,44","728,63","721,99","914,42M","0,17%"
"24/01/2019","724,57","722,99","725,08","720,65","904,27M","0,45%"
"23/01/2019","721,31","722,67","726,16","720,14","829,67M","-0,47%"
"22/01/2019","724,75","724,08","725,14","717,28","673,88M","0,13%"
"21/01/2019","723,80","728,31","729,87","723,80","667,38M","-0,31%"
"18/01/2019","726,08","723,99","726,08","719,13","763,51M","0,64%"
"17/01/2019","721,43","719,32","725,60","719,32","1,02B","0,52%"
"16/01/2019","717,67","719,61","722,64","714,43","1,32B","-0,09%"
"15/01/2019","718,29","708,14","718,29","705,91","1,03B","1,72%"
"14/01/2019","706,15","709,56","711,11","700,76","585,71M","-0,93%"
"11/01/2019","712,76","709,42","712,76","706,07","690,41M","0,88%"
"10/01/2019","706,57","697,00","706,57","691,65","963,98M","1,75%"
"09/01/2019","694,40","702,42","705,11","694,00","747,06M","-0,61%"
"08/01/2019","698,65","704,52","707,46","694,36","977,15M","-0,78%"
"07/01/2019","704,11","708,11","713,15","704,11","1,04B","0,34%"
"04/01/2019","701,74","692,37","701,74","691,48","995,38M","0,93%"
"03/01/2019","695,30","685,21","695,30","685,21","773,54M","1,52%"
"02/01/2019","684,92","685,41","687,74","682,40","449,45M","-0,04%"
"28/12/2018","685,22","688,82","693,50","685,22","488,99M","-0,36%"
"27/12/2018","687,69","686,83","689,89","683,12","466,87M","1,50%"
"26/12/2018","677,56","683,08","684,59","676,12","453,24M","-1,71%"
"21/12/2018","689,37","682,08","689,71","680,87","862,39M","0,40%"
"20/12/2018","686,65","685,42","687,51","681,01","742,95M","-0,24%"
"19/12/2018","688,28","676,22","688,28","676,11","906,84M","1,94%"
"18/12/2018","675,18","669,92","675,18","664,40","647,95M","0,31%"
"17/12/2018","673,09","685,58","686,43","673,09","602,47M","-1,62%"
"14/12/2018","684,19","686,82","687,52","682,64","779,08M","-0,03%"
"13/12/2018","684,41","675,59","687,62","674,97","999,10M","1,76%"
"12/12/2018","672,56","670,58","674,15","668,65","799,33M","0,94%"
"11/12/2018","666,31","672,91","674,62","666,31","757,68M","-1,21%"
"10/12/2018","674,45","672,85","674,87","666,70","487,35M","-0,28%"
"07/12/2018","676,32","672,65","677,26","672,19","762,91M","0,40%"
"06/12/2018","673,63","670,05","676,55","668,86","778,49M","-0,33%"
"05/12/2018","675,85","670,10","677,50","667,40","888,31M","-0,37%"
"04/12/2018","678,36","673,84","678,36","671,10","999,72M","0,81%"
"03/12/2018","672,90","672,34","677,56","666,62","1,49B","1,56%"
"30/11/2018","662,59","667,56","669,89","661,32","1,95B","-0,37%"
"29/11/2018","665,05","656,07","666,27","656,07","1,12B","2,50%"
"28/11/2018","648,80","662,06","662,77","648,80","829,34M","-1,86%"
"27/11/2018","661,08","665,64","668,07","658,47","831,79M","-1,01%"
"26/11/2018","667,80","669,92","671,12","663,74","958,95M","-0,35%"
"23/11/2018","670,13","668,14","670,55","665,65","617,93M","0,31%"
"22/11/2018","668,03","660,14","668,43","660,14","1,05B","0,67%"
"21/11/2018","663,61","659,68","668,46","655,99","992,91M","-0,97%"
"19/11/2018","670,09","677,74","677,83","666,60","698,53M","-0,89%"
"16/11/2018","676,09","668,66","681,39","665,52","918,88M","1,43%"
"15/11/2018","666,53","654,89","667,87","654,70","757,68M","2,56%"
"14/11/2018","649,92","650,33","656,81","648,22","809,36M","0,70%"
"13/11/2018","645,38","635,05","648,34","632,23","674,63M","1,22%"
"12/11/2018","637,58","652,27","654,44","637,58","572,94M","-2,66%"
"09/11/2018","655,00","660,56","660,99","652,88","673,06M","-1,61%"
"08/11/2018","665,71","665,22","668,20","660,91","1,04B","0,91%"
"07/11/2018","659,69","658,07","660,86","652,96","967,39M","0,60%"
"06/11/2018","655,75","658,72","658,75","651,66","628,39M","0,08%"
"05/11/2018","655,21","651,44","656,57","650,69","550,47M","0,03%"
"02/11/2018","655,00","656,25","657,21","648,24","1,35B","0,72%"
"01/11/2018","650,33","653,09","654,67","646,57","836,55M","-0,14%"
"31/10/2018","651,27","649,00","651,27","640,22","762,06M","1,01%"
"30/10/2018","644,77","635,74","645,03","634,82","738,04M","1,22%"
"29/10/2018","636,98","643,25","646,18","634,52","501,74M","-0,49%"
"26/10/2018","640,09","636,73","641,09","634,64","672,66M","0,57%"
"25/10/2018","636,48","615,30","636,77","614,57","712,03M","1,16%"
"24/10/2018","629,19","642,83","644,46","629,19","663,54M","-2,19%"
"23/10/2018","643,28","647,28","648,07","641,78","575,70M","-0,79%"
"22/10/2018","648,42","648,11","650,63","644,76","649,12M","0,17%"
"19/10/2018","647,31","639,58","647,81","636,94","886,29M","0,46%"
"18/10/2018","644,36","649,19","650,18","639,62","548,68M","-1,13%"
"17/10/2018","651,72","649,25","651,72","644,95","709,83M","1,28%"
"16/10/2018","643,50","631,44","643,50","630,21","612,44M","2,29%"
"15/10/2018","629,09","637,17","641,72","629,09","578,98M","-0,93%"
"12/10/2018","634,97","630,62","639,10","630,45","611,30M","1,24%"
"11/10/2018","627,17","625,67","633,01","618,07","726,30M","-2,05%"
"10/10/2018","640,30","640,58","642,37","637,14","584,12M","0,48%"
"09/10/2018","637,25","636,65","638,64","630,19","457,99M","0,58%"
"08/10/2018","633,55","629,78","639,25","629,76","540,45M","0,41%"
"05/10/2018","630,97","632,13","635,24","628,14","481,64M","-0,86%"
"04/10/2018","636,46","646,91","646,95","633,08","634,32M","-2,13%"
"03/10/2018","650,29","652,57","658,11","648,34","509,69M","-0,53%"
"02/10/2018","653,74","663,05","665,45","651,84","867,83M","-1,29%"
"01/10/2018","662,27","659,79","667,83","659,79","590,43M","-0,40%"
"28/09/2018","664,91","658,98","665,08","658,93","855,81M","0,98%"
"27/09/2018","658,45","648,50","658,45","647,81","642,52M","1,60%"
"26/09/2018","648,06","647,85","654,04","646,89","493,80M","0,06%"
"25/09/2018","647,66","647,06","650,60","644,68","297,30M","-0,16%"
"24/09/2018","648,69","656,89","657,22","648,30","472,55M","-1,37%"
"21/09/2018","657,70","660,00","660,63","652,99","864,17M","0,30%"
"20/09/2018","655,76","650,03","657,39","649,37","765,51M","1,42%"
"19/09/2018","646,57","641,76","648,23","641,71","488,54M","1,27%"
"18/09/2018","638,44","635,47","640,86","630,32","567,90M","0,37%"
"17/09/2018","636,06","649,32","649,80","634,67","434,37M","-2,50%"
"14/09/2018","652,35","641,33","652,35","641,33","565,19M","1,96%"
"13/09/2018","639,79","639,67","643,11","637,79","601,65M","0,90%"
"12/09/2018","634,10","638,18","643,80","634,10","633,85M","-0,59%"
"10/09/2018","637,84","635,40","637,84","626,98","420,61M","0,22%"
"07/09/2018","636,44","623,04","636,44","621,93","547,06M","2,35%"
"06/09/2018","621,85","608,29","625,30","608,20","820,34M","1,52%"
"05/09/2018","612,56","636,55","636,55","605,63","937,77M","-4,65%"
"04/09/2018","642,45","651,80","652,69","641,13","485,39M","-1,41%"
"03/09/2018","651,62","660,29","660,50","650,09","376,24M","-1,26%"
"31/08/2018","659,92","658,25","659,92","650,64","803,53M","-0,64%"
"30/08/2018","664,17","670,09","671,22","662,62","614,60M","-0,66%"
"29/08/2018","668,61","663,54","669,62","659,86","679,53M","0,99%"
"28/08/2018","662,06","662,98","666,44","660,12","672,72M","0,25%"
"27/08/2018","660,39","650,18","660,39","650,03","707,88M","2,13%"
"24/08/2018","646,60","651,19","651,78","644,25","497,79M","-0,92%"
"23/08/2018","652,60","651,87","654,46","644,14","1,00B","0,64%"
"21/08/2018","648,47","645,01","652,80","644,60","682,08M","0,72%"
"20/08/2018","643,84","637,11","648,03","636,60","741,22M","2,22%"
"16/08/2018","629,87","623,36","633,64","618,59","631,90M","0,28%"
"15/08/2018","628,11","623,11","629,58","611,33","758,91M","1,20%"
"14/08/2018","620,68","638,17","642,22","618,97","954,27M","-3,10%"
"13/08/2018","640,52","657,56","657,89","639,67","785,17M","-3,66%"
"10/08/2018","664,88","665,78","667,82","661,31","713,56M","0,12%"
"09/08/2018","664,09","664,50","668,82","662,88","871,35M","-0,37%"
"08/08/2018","666,53","671,78","672,80","664,10","841,19M","-0,38%"
"07/08/2018","669,07","674,26","675,29","666,14","744,44M","-0,52%"
"06/08/2018","672,60","661,24","674,40","661,16","840,62M","2,22%"
"03/08/2018","657,97","660,95","661,71","655,74","667,11M","-0,67%"
"02/08/2018","662,42","670,71","671,13","660,30","668,75M","-1,22%"
"01/08/2018","670,58","658,10","670,58","654,72","943,92M","2,37%"
"31/07/2018","655,04","671,83","671,85","651,37","1,46B","-3,24%"
"30/07/2018","676,97","672,53","676,97","671,60","1,14B","0,77%"
"27/07/2018","671,78","664,87","671,85","663,97","632,86M","1,17%"
"26/07/2018","663,99","668,10","670,46","662,52","842,22M","-0,16%"
"25/07/2018","665,04","667,52","668,19","664,19","496,62M","0,15%"
